Package,Version
CCE,12.0.3
MPICH,8.1.9
DSMML,0.2.1
PALS,1.0.17
PMI,6.0.13
OpenSHMEMX,11.3.3
ATP,3.14.5,2
CCDB,4.12.4
CTI,2.15.5
gdb4hpc,4.13.5
STAT,4.11.5
valgrind4hpc,2.12.4
perftools,21.09.0
PAPI,6.0.0.9
LibSci,21.08.1.2
LibSci_acc,21.08.9.1
FFTW,3.3.8.11
craype-dl-plugin-py3,21.04.1
craypkg-gen,1.3.18
craype,2.7.10
cpe-prgenv,8.1.0
cray-lmod,8.3.1.0
modules,3.2.11.5
HDF5,1.12.0.7
NetCDF,4.7.4.7
parallel-netcdf,1.12.1.7
iobuf,2.0.10
GCC,11.2.0
GCC9,9.3.0
GCC10,10.3.0
GCC11,11.2.0
cray-python,3.9.4.1
cray-R,4.1.1.0
jemalloc,5.1.0.4
AOCC,3.0.0
ROCM,4.3.0
intel,2021.3
NVIDIA,21.5
craype-targets,1.3.3
FORGE,21.0
