Package,Version
CCE,15.0.0
MPICH,8.1.23
DSMML,0.2.2
PMI,6.1.8
OpenSHMEMX,11.5.7
mrnet,5.0.4
ATOMS,1.1.6
PALS,1.2.5
ATP,3.14.16
CCDB,4.12.13
Cray-dininst,12.1.1
CTI,2.17.1
gdb4hpc,4.14.6
sanitizers4hpc,1.0.4
STAT,4.11.13
valgrind4hpc,2.12.10
perftools,22.12.0
PAPI,6.0.0.17
LibSci,22.12.1.1
LibSci_acc,22.12.1.1
FFTW,3.3.10.3
craype-dl-plugin-ftr,22.06.1.2
craype-dl-plugin-py3,22.12.1
craypkg-gen,1.3.28
craype,2.7.19
cpe-prgenv,8.3.3
cray-lmod,8.3.1.0
modules,3.2.11.7
HDF5,1.12.2.1
NetCDF,4.9.0.1
parallel-netcdf,1.12.3.1
iobuf,2.0.10
GCC,11.2.0
GCC10,10.3.0
GCC11,11.2.0
GCC12,12.2.0
cray-python,3.9.13.1
cray-R,4.2.1.1
jemalloc,5.1.0.4
AOCC,3.2.0
ROCM,6.0.3
intel,2022.2.0
NVIDIA,22.7
craype-targets,1.8.0
EasyBuild,4.7.1
