Package,Version
CCE,17.0.1
MPICH,8.1.29
MPIxlate,1.0.4
DSMML,0.3.0
PMI,6.1.14
OpenSHMEMX,11.7.1
mrnet,5.1.2
ATOMS,1.1.6
PALS,1.2.12
ATP,3.15.3
CCDB,5.0.3
cray-dyninst,12.3.1
CTI,2.18.3
gdb4hpc,4.16.1
sanitizers4hpc,1.1.2
STAT,4.12.2
valgrind4hpc,2.13.2
perftools,24.03.0
PAPI,7.1.0.1
LibSci,24.03.0
LibSci_acc,24.03.1
FFTW,3.3.10.7
craype-dl-plugin-ftr,22.06.1.2
craype-dl-plugin-py3,24.03.1
craypkg-gen,1.3.32
craype,2.7.31.11
cpe-prgenv,8.5.0
cray-lmod,8.7.32
modules,3.2.11.7
HDF5,1.12.2.11
NetCDF,4.9.0.11
parallel-netcdf,1.12.3.11
iobuf,2.0.10
GCC,13.2
cray-python,3.11.7
cray-R,4.3.2
jemalloc,5.1.0.4
AOCC,4.1.0
ROCM,6.0.3
intel,2024.0
NVIDIA,23.11
craype-targets,1.12.0
EasyBuild,4.9.2
