Package,Version
CCE,12.0.0
MPICH,8.1.6
DSMML,0.1.5
PALS,1.0.12
PMI,6.0.12
OpenSHMEMX,11.3.0
ATP,3.14,2
CCDB,4.12.1
CTI,2.15.2
gdb4hpc,4.13.2
STAT,4.11.2
perftools,21.05.0
PAPI,6.0.0.7
LibSci,21.06.1.1
FFTW,3.3.8.10
craypkg-gen,1.3.15
craype,2.7.8
cpe-prgenv,8.1.0
cray-lmod,8.3.1.0
HDF5,1.12.0.4
NetCDF,4.7.4.4
parallel-netcdf,1.12.1.4
iobuf,2.0.10
cray-python,3.8.5.1
cray-R,4.0.5.1
AOCC,2.2.0.1
craype-dl-plugin-py3,21.04.1
GCC,9.3.0
GCC8,8.1.0
GCC9,9.3.0
GCC10,10.3.0
jemalloc,5.1.0.4
valgrind4hpc,2.12.1
intel,19.1.3.304
craype-targets,1.4.0
